authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Ciara O'Rourke,"September 27, 2022","“You know how many convicted felons Scott Walker let out during his eight years early on parole? Zero. Tony Evers is approaching 1,000 of these that he’s let out early.""",Tim Michels,pants-fire,Fake,0
Ciara O'Rourke,"September 27, 2022","In the United Kingdom, “Charles cedes throne to William immediately.”",Facebook posts,false,Fake,0
Madeline Heim,"September 27, 2022",“Joe Biden blamed Elton John for AIDS.”,Viral image,false,Fake,0
Sabine Martin,"September 27, 2022",On exceptions to Wisconsin’s abortion ban.,Tim Michels,full-flop,Fake,0
Ciara O'Rourke,"September 27, 2022","""I was named Iowa’s most bipartisan member of Congress by @TheLugarCenter.”",Cindy Axne,mostly-true,Real,1
Amy Sherman,"September 27, 2022",House Democrats kicked Nancy Pelosi from office.,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 27, 2022",“Breaking: Judiciary Democrats just voted to support non-citizens voting in our elections.”,Instagram posts,false,Fake,0
Gabrielle Settles,"September 27, 2022",Soursop cures cancer.,Facebook posts,false,Fake,0
Madison Czopek,"September 27, 2022",Martha's Vineyard declared itself as a sanctuary city until the buses arrived.,Peggy Hubbard,half-true,Real,1
Jill Terreri,"• September 26,","""Only 325,000 American kids out of 19,000,000"" were vaccinated against COVID-19.",Instagram posts,barely-true,Fake,0
Andy Nguyen,"September 26, 2022",“Jeffrey Epstein’s lawyer became a federal judge” and “was the person to sign off on the Mar-a-Lago search warrant.”,Facebook posts,false,Fake,0
Madeline Heim,"September 26, 2022",“Future and Malia Obama are expecting first child together.”,Facebook posts,pants-fire,Fake,0
Warren Fiske,"September 26, 2022","Says Ron Johnson ""wants to put Social Security and Medicare on the chopping block every single year.""",Joe Biden,mostly-true,Real,1
Jon Greenberg,"September 23, 2022",“Jen Kiggans’ campaign confirmed today that she would support a national abortion ban.”,Elaine Luria,half-true,Real,1
Andy Nguyen,"September 23, 2022","Ballot harvesting “altered the outcome” of a city council election in Yuma County, Arizona.",Mark Finchem,false,Fake,0
Maria Ramirez,"• September 23,",“Barron Trump has been kicked out of school for fees.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"September 22, 2022",Adam Laxalt took “campaign cash” from drug companies “and used his office to block local attempts at holding one of the worst offenders accountable.”,Catherine Cortez Masto,barely-true,Fake,0
Ciara O'Rourke,"September 22, 2022",“Chinese military convoy enters Ukraine from Russia.”,Facebook posts,false,Fake,0
D.L. Davis,"September 22, 2022",Photo shows fighting in Ukraine.,Viral image,false,Fake,0
Gabrielle Settles,"September 21, 2022","Says under his plan to end cash bail ""the Waukesha perpetrator wouldn’t have been released """,Mandela Barnes,mostly-true,Real,1
Andy Nguyen,"September 21, 2022",“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,Facebook posts,barely-true,Fake,0
Jill Terreri,"• September 21,","Video shows an ""invasion of crocodiles"" that has flooded the beaches of Brazil and caused residents to panic.",Instagram posts,false,Fake,0
Madison Czopek,"September 21, 2022","Every time a Republican has been elected president over the last few decades, House Democrats have objected to the result",Lee Zeldin,mostly-true,Real,1
Ciara O'Rourke,"September 21, 2022",Martha’s Vineyard “deported 50 illegals after only 24 hours.”,Instagram posts,false,Fake,0
Ciara O'Rourke,"September 21, 2022",Meghan Markle wasn’t allowed to attend Queen Elizabeth II’s funeral.,Facebook posts,false,Fake,0
Laura Schulte,"September 21, 2022","Once every thousand years “your age + your year of birth, every person = 2022.”",Viral image,false,Fake,0
Andy Nguyen,"September 21, 2022",“Mandela Barnes…wants to release 50% of the prison population when 68% is classified as ‘violent offenders.’”,National Republican Senatorial Committee,half-true,Real,1
Nusaiba Mizan,"September 21, 2022",The World Economic Forum has called for the end of “wasteful private car ownership.”,Facebook posts,barely-true,Fake,0
Rachel Bluth,"September 21, 2022",Three court rulings since May 2022 “have made it clear that it is unconstitutional to ban someone between the ages of 18 and 20 from being able to buy an AR.”,Greg Abbott,barely-true,Fake,0
Jeff Cercone,"September 20, 2022","“With Proposition 1, the number of abortion seekers from other states will soar even higher, costing taxpayers millions more.”","California Together, No On Proposition 1",barely-true,Fake,0
Gabrielle Settles,"September 20, 2022","Martha’s Vineyard ""used the military to deport every last illegal migrant from their island.”",Instagram posts,false,Fake,0
Ciara O'Rourke,"September 20, 2022",Nostradamus “accurately predicted Queen Elizabeth II’s passing.”,Facebook posts,false,Fake,0
Madeline Heim,"September 20, 2022",Nancy Pelosi “almost burst out into laughter” at the Tsitsernakaberd Armenian Genocide Memorial Complex in Yerevan.,Viral image,false,Fake,0
Ciara O'Rourke,"September 20, 2022","Says Tim Michels' family foundation ""funded an organization that tracks women when they get near abortion clinics … he wants to treat women like they're the criminals.""",Liberal Groups,barely-true,Fake,0
Louis Jacobson,"September 20, 2022",Photo shows “Queen Elizabeth and Prince Charles” bowing to Ethiopian Emperor Haile Selassie I.,Viral image,false,Fake,0
Sara Swann,"September 20, 2022","“This year, it's going to be over $1.5 trillion (that we’ve) reduced the debt.""",Joe Biden,half-true,Real,1
Todd Spangler,"September 20, 2022",“Supreme Court just voted to ban condoms.”,Instagram posts,false,Fake,0
Michael Majchrowicz,"September 19, 2022","""90% of (state Sen. Tom Barrett's) donors are from special interests""",House Majority PAC,barely-true,Fake,0
Renee Romo,"September 19, 2022",All banks will soon have to turn over all coins to federal government ahead of pivot to using only electronic transactions.,Facebook posts,false,Fake,0
Yacob Reyes,"September 19, 2022","Under Kathy Hoffman, “student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.”",Tom Horne,barely-true,Fake,0
Amy Sherman,"September 19, 2022",Image shows a Rebekah Jones campaign event.,Matt Gaetz,barely-true,Fake,0
Ciara O'Rourke,"September 19, 2022","Then-Vice President Mike Pence ""seized power"" from President Donald Trump and undertook ""a coup"" when he called on federal agencies to stop the Jan. 6 Capitol riot.",Mark Finchem,pants-fire,Fake,0
Haley Tenore,"September 19, 2022",“The Simpsons” predicted Queen Elizabeth II’s 2022 death.,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 16, 2022","“Since 2019, I've successfully lobbied for the funds to add hundreds of school counselors, lowering our student to school counselor ratio by 20%.”",Kathy Hoffman,true,Real,1
Andy Nguyen,"September 16, 2022",A royal guard member collapsed because of the COVID-19 vaccine.,Instagram posts,false,Fake,0
Louis Jacobson,"September 16, 2022",Photo shows Queen Elizabeth II checking the oil of a car.,Viral image,false,Fake,0
Tom Kertscher,"September 16, 2022",“Incomes are up.”,Joe Biden,barely-true,Fake,0
Jon Greenberg,"September 16, 2022",Blake Masters does not support abortion exceptions for rape and incest.,Senate Majority PAC,mostly-true,Real,1
Yacob Reyes,"September 16, 2022","“Mark Kelly voted against the Keystone pipeline, which caused higher gas prices.”",Saving Arizona PAC,barely-true,Fake,0
Sara Swann,"September 16, 2022","""Val Demings supports abortion up until the moment of birth.""",Marco Rubio,barely-true,Fake,0
D.L. Davis,"September 16, 2022","If Jeff Bezos’ net worth reaches $1 trillion, “he could literally end world poverty and give everyone $1 billion and he will still have $91.5 billion left.”",Facebook posts,pants-fire,Fake,0
Gabrielle Settles,"September 15, 2022","""Democrats' radical green energy policies caused record gas prices. """,Ron Johnson,barely-true,Fake,0
Andy Nguyen,"September 15, 2022",Barack and Michelle Obama are not the real parents of their children.,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 15, 2022",“Trump lawyers all quit on him at the same time.”,Facebook posts,false,Fake,0
Madison Czopek,"September 15, 2022",“Obama & Clinton are being arrested by the military.”,Facebook posts,pants-fire,Fake,0
Gabrielle Settles,"September 15, 2022","To qualify for Ohio SNAP benefits, “now a family of 3 can make up to $3,660 a month and it used to be $2,700, so it’s gone up almost $1,000 a month.”",Facebook posts,false,Fake,0
Jeff Cercone,"September 15, 2022",A CNN report on 9/11 proved that a plane never hit the Pentagon.,Instagram posts,false,Fake,0
Ciara O'Rourke,"September 15, 2022",“The FBI confirmed” that Ashley Biden said her father molested her.,Facebook posts,false,Fake,0
Ciara O'Rourke,"September 15, 2022",Video shows Hillary Clinton popping a brown paper bag during a press conference.,Viral image,pants-fire,Fake,0
Jeff Cercone,"September 14, 2022","“The pope, Xi and Putin all meet to plan world events!”",Facebook posts,false,Fake,0
Michael Majchrowicz,"September 14, 2022","Under new Illinois law, these crimes are “nondetainable"": “Burglary, robbery, arson, kidnapping, DUI offenses, even DUI involving a fatality, most drug offenses, and even 2nd degree murder.”",Facebook posts,false,Fake,0
Ciara O'Rourke,"September 14, 2022","""Russia is becoming the first country to break ties with the Antarctic Treaty.""",Instagram posts,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022",“The sun is not 93 million miles away … it is local and under a firmament dome.”,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022",“Everyone but Trump invited to royal funeral.”,Viral image,false,Fake,0
Gabrielle Settles,"September 14, 2022",The Clintons killed Ken Starr.,X posts,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022",“No plane debris was found at the Pentagon.”,Instagram posts,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022","Video shows a statement from Donald Trump on Sept. 8, 2022.",Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022",A Boeing 757 didn’t fly into the Pentagon on 9/11.,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 14, 2022",Photos show Queen Elizabeth II was a “Luciferian.”,Instagram posts,false,Fake,0
Warren Fiske,"September 14, 2022",“Nancy Pelosi set to resign from Congress as Trump files impeachment lawsuits against her.”,Facebook posts,false,Fake,0
Jon Greenberg,"September 13, 2022",“I don’t accept a dime of corporate money.”,Abigail Spanberger,mostly-true,Real,1
Ciara O'Rourke,"September 13, 2022","""40% of the folks who have student loans do not have a college diploma, four-year diploma. These are people who are truck drivers and who are nail technicians and nurses’ aides.”",Elizabeth Warren,true,Real,1
Todd Spangler,"September 13, 2022","Donald Trump said, “I never told anybody but she knighted me in private.”",Viral image,false,Fake,0
Jon Greenberg,"September 13, 2022","Following protests in Grand Rapids, Michigan, in 2020, Democratic U.S. House candidate Hillary Scholten ""dismissed the destruction and praised the rioters.""",Congressional Leadership Fund,false,Fake,0
Michael Majchrowicz,"September 13, 2022",“I had zero emails that were classified.”,Hillary Clinton,half-true,Real,1
Andy Nguyen,"September 13, 2022",Joe Biden appointed a 'satanist' to the White House.,Instagram posts,false,Fake,0
Laura Schulte,"September 13, 2022","Joe Biden called Pope Francis the “famous African American baseball player in America.""",Facebook posts,false,Fake,0
Tom Kertscher,"September 12, 2022",“Ron Johnson just came out in favor of a federal abortion ban.”,Mandela Barnes,barely-true,Fake,0
Sara Swann,"September 12, 2022","As a mayor, ""John Fetterman chased down an innocent, unarmed Black man,"" wielded a shotgun and ""falsely accused the man, triggering a confrontation with police.""",American Leadership Action,mostly-true,Real,1
Madison Czopek,"September 12, 2022","Says of 9/11, “Two planes can’t cause three buildings to collapse in free-fall time.”",Facebook posts,false,Fake,0
Ciara O'Rourke,"September 12, 2022",King Charles III signed “a proclamation stating that Donald Trump won the 2020 presidential election and is the rightful president by law.”,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 12, 2022","Barack Obama urged people on Sept. 10, 2001, to “report to work tomorrow” at  the World Trade Center.",Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 12, 2022",“North Korea confirms it has landed a man on the sun.”,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 12, 2022",Photo shows Queen Elizabeth II meeting Donald Trump wearing a brooch given to her by Barack Obama.,Viral image,false,Fake,0
Ciara O'Rourke,"September 12, 2022",Queen Elizabeth II was a reptile.,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"September 9, 2022",Photo shows Queen Elizabeth II being carried across a river by African porters.,Facebook posts,false,Fake,0
Andy Nguyen,"September 9, 2022",A “13 or 15 year old boy escapes Buckingham Palace” in video.,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 9, 2022",“Prince was sacrificed for (Queen Elizabeth II’s) 90th birthday.”,Instagram posts,pants-fire,Fake,0
Gabrielle Settles,"September 9, 2022",A BBC radio station resumed playing dance music after announcing Queen Elizabeth II had died.,Instagram posts,false,Fake,0
Ciara O'Rourke,"September 9, 2022","“We all know the Queen’s been dead for a while now,” and her death is part of a dark conspiracy involving pedophilia or child trafficking.",Facebook posts,pants-fire,Fake,0
Madison Czopek,"September 9, 2022",Video shows Queen Elizabeth II “feeding Africans like chickens.”,Facebook posts,false,Fake,0
Michael Majchrowicz,"September 9, 2022",“Queen Elizabeth shot dead in Detroit.”,Instagram posts,pants-fire,Fake,0
Ciara O'Rourke,"September 9, 2022","The federal government is providing free solar panel installation and $8,500 incentive checks to eligible homeowners.",Facebook posts,false,Fake,0
Ciara O'Rourke,"September 9, 2022",Video proves “space is fake.”,Viral image,pants-fire,Fake,0
Madeline Heim,"September 9, 2022",Astronaut Karen Nyberg filmed what “was supposedly a video from space” in front of a green screen.,Instagram posts,false,Fake,0
Ciara O'Rourke,"September 9, 2022",Says President Joe Biden “recently said that 48.8% of Wisconsin voters are threats to democracy.”,Republican Governors Association,false,Fake,0
Jeff Cercone,"September 9, 2022",Video shows Hillary Clinton dressed as a space cult leader in a satanic ritual.,Instagram posts,false,Fake,0
Ciara O'Rourke,"September 8, 2022",Russia “has not lost anything” in its invasion of Ukraine.,Vladimir Putin,false,Fake,0
Andy Nguyen,"September 8, 2022",Video shows there weren’t Marines present during a recent speech by Joe Biden.,Viral image,false,Fake,0
Amy Sherman,"September 8, 2022",“The Russian army is withdrawing from Ukraine!” in September 2022,Facebook posts,false,Fake,0
Gabrielle Settles,"September 8, 2022","“Here in Nevada, the DMV registers everybody (to vote) and so that means illegals. They don’t check.”",Jim Marchant,false,Fake,0
Ciara O'Rourke,"September 8, 2022",Executive Order 14067 will allow the federal government to “turn on and turn off your money.”,TikTok posts,false,Fake,0
Nusaiba Mizan,"September 8, 2022",Queen Elizabeth died because of the COVID-19 vaccine.,X posts,false,Fake,0
Michael Majchrowicz,"September 8, 2022","""FEC charges (Beto O'Rourke's 2018 campaign) Illegal Campaign Contributions.""",Facebook posts,barely-true,Fake,0
Ciara O'Rourke,"September 8, 2022","“With the combined salary of the 87,000 new IRS Agents ($81,456 average annual salary), you could put a police officer ($55,117) in every public school in the nation (97,568) and still have 31,007 police officers or $1,709,012,819 left over.”",Facebook posts,barely-true,Fake,0
Louis Jacobson,"September 8, 2022",“Naomi Biden says Joe Biden died four years ago.”,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 7, 2022",“Tim Ryan called police the new Jim Crow.”,JD Vance,barely-true,Fake,0
Ciara O'Rourke,"September 7, 2022",Video shows Joe Biden has a body double.,Viral image,pants-fire,Fake,0
Ciara O'Rourke,"September 7, 2022",“The U.S. & Elon Musk reveal new hypersonic jet to help Ukraine.”,Bloggers,false,Fake,0
Louis Jacobson,"September 7, 2022",The National Institutes of Health “adds ivermectin to list of COVID approved treatments.”,Instagram posts,false,Fake,0
Andy Nguyen,"September 7, 2022",The child tax credit passed under President Joe Biden “has helped 97% of the families with children who are living in poverty.”,Raphael Warnock,half-true,Real,1
Gabrielle Settles,"September 7, 2022",There’s an unlimited supply of water being generated “deep within the Earth.”,Instagram posts,barely-true,Fake,0
Ciara O'Rourke,"September 6, 2022",President Joe Biden “employed actors to portray Marine guards” during a Sept. 1 speech.,Facebook posts,pants-fire,Fake,0
Gabrielle Settles,"September 6, 2022",“Walmart management is helping with rising prices with $500 grocery cards for $2.”,Facebook posts,false,Fake,0
D.L. Davis,"September 6, 2022",Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,The Gateway Pundit,false,Fake,0
Yacob Reyes,"September 2, 2022","Says Mandela Barnes ""supports stripping health care away from millions.""",National Republican Senatorial Committee,false,Fake,0
Amy Sherman,"September 2, 2022","Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Charlie Crist,barely-true,Fake,0
Madeline Heim,"September 2, 2022","“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Tom Cotton,barely-true,Fake,0
Tom Kertscher,"September 1, 2022",Says “Tim Michels doesn’t think gay people should be out in public.”,Democratic Party of Wisconsin,barely-true,Fake,0
Tori Gantz,"September 1, 2022",Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,CatholicVote,barely-true,Fake,0
Paul Specht,"September 1, 2022","Joe Biden and Raphael Warnock  ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Herschel Walker,half-true,Real,1
Jill Terreri,"• September 1,","“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Cheri Beasley,half-true,Real,1
Michael Majchrowicz,"August 31, 2022","In New York, you need to show identification to buy whipped cream, but not to vote.",Social Media,barely-true,Fake,0
Maria Ramirez,"• August 31,","""Water-fueled car can travel from LA to NY on 22 gallons.""",Instagram posts,false,Fake,0
Jeff Cercone,"August 31, 2022","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Adam Laxalt,false,Fake,0
Luiz Romero,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Facebook posts,false,Fake,0
Yacob Reyes,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Facebook posts,false,Fake,0
Kristin Hugo,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Facebook posts,false,Fake,0
Maria Ramirez,"• August 31,",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Facebook posts,half-true,Real,1
Sara Swann,"August 31, 2022",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Facebook posts,false,Fake,0
Tom Kertscher,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Instagram posts,false,Fake,0
Louis Jacobson,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",American Action Network,barely-true,Fake,0
Ciara O'Rourke,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Facebook posts,pants-fire,Fake,0
Madison Czopek,"August 31, 2022",“Starbucks just announced that they’re going cashless.”,Instagram posts,false,Fake,0
Lyle Muller,"August 31, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Charlie Kirk,half-true,Real,1
Michael Majchrowicz,"August 30, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Joni Ernst,half-true,Real,1
Madison Czopek,"August 30, 2022","Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Facebook posts,pants-fire,Fake,0
Michael Majchrowicz,"August 30, 2022",The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Facebook posts,pants-fire,Fake,0
Amy Sherman,"August 30, 2022","The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Facebook posts,pants-fire,Fake,0
Jeff Cercone,"August 30, 2022","“In Arizona, we have flood the zone with fake ballots.”",Mark Finchem,pants-fire,Fake,0
Gabrielle Settles,"August 30, 2022",Student debt relief is taxable by the Internal Revenue Service.,Facebook posts,false,Fake,0
Sara Swann,"August 30, 2022","Instagram’s ""precise location"" feature can be used by criminals to target victims.",Instagram posts,false,Fake,0
Andy Nguyen,"August 30, 2022",Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Instagram posts,false,Fake,0
Lyle Muller,"August 29, 2022","Image claims to show a list of ""Republican members of Congress whose PPP loans were forgiven.""",Instagram posts,true,Real,1
Yacob Reyes,"August 29, 2022",“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,Deidre DeJear,barely-true,Fake,0
Ciara O'Rourke,"August 29, 2022","Sarasota, Florida, teachers told they cannot purchase books, accept donated reading materials, order from Scholastic or hold book fairs.",Facebook posts,half-true,Real,1
Amy Sherman,"August 29, 2022",“Nearly half of pregnant women in Pfizer trial miscarried.”,Viral image,false,Fake,0
Vanessa Swales,"August 29, 2022",The Supreme Court will put Donald Trump back in office in October,Facebook posts,pants-fire,Fake,0
Madison Czopek,"August 26, 2022",Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”,National Republican Senatorial Committee,barely-true,Fake,0
Ciara O'Rourke,"August 26, 2022","Screenshots show that conservative political commentator Ben Shapiro received more than $20,000 in Paycheck Protection Program loan forgiveness.",Facebook posts,false,Fake,0
Michael Majchrowicz,"August 26, 2022","""If your body's pH is alkaline, you cannot get cancer. And if you have cancer, it goes away.""",Viral image,false,Fake,0
Ciara O'Rourke,"August 26, 2022","""Monkeypox is a complete, fake sham” that’s “designed to force lockdowns, mandates and shots.”",Facebook posts,pants-fire,Fake,0
Gabrielle Settles,"August 26, 2022",Video shows Tucker Carlson speechless in interview with a guest.,Viral image,false,Fake,0
Yacob Reyes,"August 26, 2022","The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",Pitbull,false,Fake,0
Ciara O'Rourke,"August 26, 2022","Charlie Crist ""supported Biden's agenda to defund the police.""",Republican Party of Florida,false,Fake,0
Ciara O'Rourke,"August 26, 2022",“U.S. is testing new most deadly nuclear bomb from B-1B Lancer.”,Facebook posts,false,Fake,0
Tom Kertscher,"August 26, 2022",Half of the votes for Joe Biden in the 2020 presidential election “are from dead people.”,Viral image,pants-fire,Fake,0
Andy Nguyen,"August 26, 2022",Blake Masters “wants to pass a national ban on abortion.”,Mark Kelly,mostly-true,Real,1
Tom Kertscher,"August 25, 2022","The deaths of U.S. Rep. Jackie Walorski, R-Ind., and actor Anne Heche are suspicious and linked because they “partnered fighting against pedophilia.”",Facebook posts,false,Fake,0
Andy Nguyen,"August 25, 2022",On privatizing Social Security.,Blake Masters,half-flip,Fake,0
D.L. Davis,"August 25, 2022",Image shows Trump is representing himself in a lawsuit against the United States government related to the FBI search of his Florida home.,X posts,false,Fake,0
Ciara O'Rourke,"August 24, 2022","""Last year the IRS audited Americans earning less than $25,000 a year at five times the rate of other groups.""",Ron Johnson,mostly-true,Real,1
Ciara O'Rourke,"August 24, 2022",“US Army in Ukraine.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 24, 2022",An image shows a chyron on Tucker Carlson’s show that said “straight men turning homo after ‘gay hypnosis.’”,Viral image,pants-fire,Fake,0
Sara Swann,"August 24, 2022",“Marjorie Taylor Greene was raided by Joe Biden’s DOJ last night.”,Instagram posts,false,Fake,0
Louis Jacobson,"August 24, 2022","In England, “COVID-19 vaccinated children are 4,423% more likely to die of any cause and 13,633% more likely to die of COVID-19 than unvaccinated children.”",Bloggers,false,Fake,0
Louis Jacobson,"August 24, 2022","""Adjusted for inflation, over the last 25 years teachers have made a $29 increase in their salary.""",Miguel Cardona,half-true,Real,1
Yacob Reyes,"August 24, 2022",The American Rescue Plan “helped create nearly 10 million new jobs.”,Joe Biden,barely-true,Fake,0
Madison Czopek,"August 24, 2022","Image shows ""Florida's anti-woke banned book list.""",Viral image,false,Fake,0
Warren Fiske,"August 24, 2022",A New England Journal of Medicine study found that vaccinated people are “5X more contagious than the unvaccinated 10 days after SARS-CoV-2 infection.”,Facebook posts,false,Fake,0
Michael Majchrowicz,"August 23, 2022","A new Democratic law “will make the IRS workforce larger than the Pentagon, FBI, State Department, and Customs and Border Patrol, combined.”",Ben Cline,barely-true,Fake,0
Paul Specht,"August 23, 2022","""Biden is adding more IRS agents to investigate your taxes than we have detectives investigating every crime in the country.”",Instagram posts,false,Fake,0
Tom Kertscher,"August 23, 2022","“Violent crime (is) at an all-time high.""",Ben Kral,false,Fake,0
Andy Nguyen,"August 23, 2022","The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""",Tom Cotton,barely-true,Fake,0
Sara Swann,"August 23, 2022",Quotes Sarah Palin as saying “when Jesus celebrated Easter with his disciples there were no Easter bunnies or egg hunts.”,Facebook posts,pants-fire,Fake,0
Andy Nguyen,"August 23, 2022",“Congress just voted to exempt themselves from IRS auditing of their personal finances.”,Instagram posts,false,Fake,0
Gabrielle Settles,"August 22, 2022",Video claims Google Street View shows Antarctica with green vegetation and brick buildings.,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 19, 2022",“Free health allowance is available at no cost.”,Facebook posts,false,Fake,0
Madison Czopek,"August 19, 2022","“People born before 1957 are getting $1,728 added to their Social Security checks.”",Facebook posts,false,Fake,0
Andy Nguyen,"August 19, 2022",“96% of U.S. climate data is corrupted.”,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 19, 2022",Video implies talk between Barack Obama and Kamala Harris has coded references to pedophilia.,Facebook posts,pants-fire,Fake,0
Ciara O'Rourke,"August 19, 2022",The Inflation Reduction Act expanded free health insurance to Americans under 65.,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 19, 2022",COVID-19 vaccines are responsible for the health problems featured in recent news reports.,Viral image,false,Fake,0
Yacob Reyes,"August 19, 2022",“Tulsi Gabbard Venmos Nancy Pelosi $600.01 forcing the IRS to audit Pelosi’s finances.”,Viral image,false,Fake,0
Ciara O'Rourke,"August 19, 2022","""We also know (the Sierra Club) paid for those reporters"" at the Palm Beach Post.",Nikki Fried,pants-fire,Fake,0
Ciara O'Rourke,"August 19, 2022","Video shows Steve Bannon crying, “Trump is going to jail.”",Facebook posts,false,Fake,0
Ciara O'Rourke,"August 19, 2022",Photos show “an IRS agent training class.”,Facebook posts,false,Fake,0
Maria Ramirez,"• August 19,",Photo shows parents who changed their baby’s gender identity.,Viral image,pants-fire,Fake,0
Laura Schulte,"August 19, 2022","“El congreso acaba de aprobar un reciente proyecto de ley para todos los que tengan más de $10,000 de deuda”.",Facebook posts,false,Fake,0
Gabrielle Settles,"August 18, 2022",Says Republican U.S. Sen. Ron Johnson “called climate change ‘bull----’ during a record heatwave” and “raked in over $700k in fossil fuel cash.”,League of Conservation Voters,true,Real,1
Ciara O'Rourke,"August 18, 2022",Amazon is “running a promotion and giving away random packages for just $1!”,Facebook posts,false,Fake,0
Jeff Cercone,"August 18, 2022",Video shows Mitch McConnell saying Nancy Pelosi “should be jailed!”,Facebook posts,false,Fake,0
Ciara O'Rourke,"August 18, 2022","""The IRS is about to double in size, with 87,000 new armed agents and an additional $80 billion in order to primarily enhance IRS enforcement and operations.”",Facebook posts,barely-true,Fake,0
Jeff Cercone,"August 18, 2022",“Ted Cruz erupts as FBI director tries to defend Biden over Mar-a-Lago raid” in video.,Facebook posts,false,Fake,0
Vanessa Swales,"August 18, 2022",Video shows former President Barack Obama sharing how to mislead the public.,TikTok posts,false,Fake,0
Maria Ramirez,"• August 17,","""With three months remaining in the Fiscal Year, (the border patrol) has already encountered more illegal immigrants along the Southwest border"" than in any previous fiscal year.",Glenn Grothman,mostly-true,Real,1
Ciara O'Rourke,"August 17, 2022","The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",Rick Scott,barely-true,Fake,0
Jon Greenberg,"August 17, 2022",Leaked messages “between former President Barack Obama and Judge Reinhart foreshadowed the unlawful raid on former Trump’s Mar-a-Lago estate.”,Viral image,false,Fake,0
